,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,yliopisto,tilastovuosi,JUFO-taso,lkm
75,75,75,75,127,Turun yliopisto,2016,1,1893
76,76,76,76,128,Vaasan yliopisto,2016,1,212
77,77,77,77,129,Åbo Akademi,2016,1,549
78,78,78,78,65,Aalto-yliopisto,2017,1,1792
79,79,79,79,66,Helsingin yliopisto,2017,1,4378
80,80,80,80,67,Itä-Suomen yliopisto,2017,1,1405
81,81,81,81,68,Jyväskylän yliopisto,2017,1,1133
82,82,82,82,69,Lapin yliopisto,2017,1,200
83,83,83,83,70,Lappeenrannan-Lahden teknillinen yliopisto,2017,1,510
84,84,84,84,71,Oulun yliopisto,2017,1,1511
85,85,85,85,72,Svenska handelshögskolan,2017,1,110
86,86,86,86,73,Taideyliopisto,2017,1,58
87,87,87,87,74,Tampereen yliopisto,2017,1,2191
88,88,88,88,75,Turun yliopisto,2017,1,1974
89,89,89,89,76,Vaasan yliopisto,2017,1,151
90,90,90,90,77,Åbo Akademi,2017,1,512
91,91,91,91,13,Aalto-yliopisto,2018,1,1901
92,92,92,92,14,Helsingin yliopisto,2018,1,4461
93,93,93,93,15,Itä-Suomen yliopisto,2018,1,1397
94,94,94,94,16,Jyväskylän yliopisto,2018,1,1109
95,95,95,95,17,Lapin yliopisto,2018,1,222
96,96,96,96,18,Lappeenrannan-Lahden teknillinen yliopisto,2018,1,511
97,97,97,97,19,Oulun yliopisto,2018,1,1554
98,98,98,98,20,Svenska handelshögskolan,2018,1,98
99,99,99,99,21,Taideyliopisto,2018,1,43
100,100,100,100,22,Tampereen yliopisto,2018,1,2226
101,101,101,101,23,Turun yliopisto,2018,1,2029
102,102,102,102,24,Vaasan yliopisto,2018,1,196
103,103,103,103,25,Åbo Akademi,2018,1,543
104,104,104,104,182,Aalto-yliopisto,2015,2,866
105,105,105,105,183,Helsingin yliopisto,2015,2,1714
106,106,106,106,184,Itä-Suomen yliopisto,2015,2,481
107,107,107,107,185,Jyväskylän yliopisto,2015,2,466
108,108,108,108,186,Lapin yliopisto,2015,2,42
109,109,109,109,187,Lappeenrannan-Lahden teknillinen yliopisto,2015,2,164
110,110,110,110,188,Oulun yliopisto,2015,2,483
111,111,111,111,189,Svenska handelshögskolan,2015,2,41
112,112,112,112,190,Taideyliopisto,2015,2,13
113,113,113,113,191,Tampereen yliopisto,2015,2,706
114,114,114,114,192,Turun yliopisto,2015,2,690
115,115,115,115,193,Vaasan yliopisto,2015,2,57
116,116,116,116,194,Åbo Akademi,2015,2,236
117,117,117,117,130,Aalto-yliopisto,2016,2,857
118,118,118,118,131,Helsingin yliopisto,2016,2,1924
119,119,119,119,132,Itä-Suomen yliopisto,2016,2,551
120,120,120,120,133,Jyväskylän yliopisto,2016,2,542
121,121,121,121,134,Lapin yliopisto,2016,2,58
122,122,122,122,135,Lappeenrannan-Lahden teknillinen yliopisto,2016,2,178
123,123,123,123,136,Oulun yliopisto,2016,2,524
124,124,124,124,137,Svenska handelshögskolan,2016,2,61
125,125,125,125,138,Taideyliopisto,2016,2,10
126,126,126,126,139,Tampereen yliopisto,2016,2,737
127,127,127,127,140,Turun yliopisto,2016,2,751
128,128,128,128,141,Vaasan yliopisto,2016,2,42
129,129,129,129,142,Åbo Akademi,2016,2,235
130,130,130,130,78,Aalto-yliopisto,2017,2,831
131,131,131,131,79,Helsingin yliopisto,2017,2,1974
132,132,132,132,80,Itä-Suomen yliopisto,2017,2,539
133,133,133,133,81,Jyväskylän yliopisto,2017,2,573
134,134,134,134,82,Lapin yliopisto,2017,2,86
135,135,135,135,83,Lappeenrannan-Lahden teknillinen yliopisto,2017,2,191
136,136,136,136,84,Oulun yliopisto,2017,2,576
137,137,137,137,85,Svenska handelshögskolan,2017,2,52
138,138,138,138,86,Taideyliopisto,2017,2,11
139,139,139,139,87,Tampereen yliopisto,2017,2,791
140,140,140,140,88,Turun yliopisto,2017,2,823
141,141,141,141,89,Vaasan yliopisto,2017,2,54
142,142,142,142,90,Åbo Akademi,2017,2,290
143,143,143,143,26,Aalto-yliopisto,2018,2,796
144,144,144,144,27,Helsingin yliopisto,2018,2,1791
145,145,145,145,28,Itä-Suomen yliopisto,2018,2,502
146,146,146,146,29,Jyväskylän yliopisto,2018,2,549
147,147,147,147,30,Lapin yliopisto,2018,2,76
148,148,148,148,31,Lappeenrannan-Lahden teknillinen yliopisto,2018,2,242
149,149,149,149,32,Oulun yliopisto,2018,2,588
150,150,150,150,33,Svenska handelshögskolan,2018,2,48
151,151,151,151,34,Taideyliopisto,2018,2,14
152,152,152,152,35,Tampereen yliopisto,2018,2,672
153,153,153,153,36,Turun yliopisto,2018,2,803
154,154,154,154,37,Vaasan yliopisto,2018,2,62
155,155,155,155,38,Åbo Akademi,2018,2,223
156,156,156,156,195,Aalto-yliopisto,2015,3,359
157,157,157,157,196,Helsingin yliopisto,2015,3,846
158,158,158,158,197,Itä-Suomen yliopisto,2015,3,178
159,159,159,159,198,Jyväskylän yliopisto,2015,3,182
160,160,160,160,199,Lapin yliopisto,2015,3,17
161,161,161,161,200,Lappeenrannan-Lahden teknillinen yliopisto,2015,3,28
162,162,162,162,201,Oulun yliopisto,2015,3,197
163,163,163,163,202,Svenska handelshögskolan,2015,3,20
164,164,164,164,203,Taideyliopisto,2015,3,7
165,165,165,165,204,Tampereen yliopisto,2015,3,240
166,166,166,166,205,Turun yliopisto,2015,3,299
167,167,167,167,206,Vaasan yliopisto,2015,3,12
168,168,168,168,207,Åbo Akademi,2015,3,67
169,169,169,169,143,Aalto-yliopisto,2016,3,363
170,170,170,170,144,Helsingin yliopisto,2016,3,873
171,171,171,171,145,Itä-Suomen yliopisto,2016,3,229
