,yliopisto,tilastovuosi,Tutkintotyyppi,lkm
119,Itä-Suomen yliopisto,2019,Ylempi korkeakoulututkinto,1650
120,Jyväskylän yliopisto,2019,Ylempi korkeakoulututkinto,1575
121,Lapin yliopisto,2019,Ylempi korkeakoulututkinto,474
122,Lappeenrannan–Lahden teknillinen yliopisto,2019,Ylempi korkeakoulututkinto,780
123,Oulun yliopisto,2019,Ylempi korkeakoulututkinto,1500
124,Svenska handelshögskolan,2019,Ylempi korkeakoulututkinto,333
125,Taideyliopisto,2019,Ylempi korkeakoulututkinto,303
126,Tampereen yliopisto,2019,Ylempi korkeakoulututkinto,1896
127,Turun yliopisto,2019,Ylempi korkeakoulututkinto,1797
128,Vaasan yliopisto,2019,Ylempi korkeakoulututkinto,564
129,Åbo Akademi,2019,Ylempi korkeakoulututkinto,564
130,Aalto-yliopisto,2015,Tohtorintutkinto,255
131,Helsingin yliopisto,2015,Tohtorintutkinto,528
132,Itä-Suomen yliopisto,2015,Tohtorintutkinto,162
133,Jyväskylän yliopisto,2015,Tohtorintutkinto,159
134,Lapin yliopisto,2015,Tohtorintutkinto,24
135,Lappeenrannan–Lahden teknillinen yliopisto,2015,Tohtorintutkinto,60
136,Oulun yliopisto,2015,Tohtorintutkinto,171
137,Svenska handelshögskolan,2015,Tohtorintutkinto,9
138,Taideyliopisto,2015,Tohtorintutkinto,21
139,Tampereen yliopisto,2015,Tohtorintutkinto,219
140,Turun yliopisto,2015,Tohtorintutkinto,174
141,Vaasan yliopisto,2015,Tohtorintutkinto,24
142,Åbo Akademi,2015,Tohtorintutkinto,75
143,Aalto-yliopisto,2016,Tohtorintutkinto,261
144,Helsingin yliopisto,2016,Tohtorintutkinto,507
145,Itä-Suomen yliopisto,2016,Tohtorintutkinto,177
146,Jyväskylän yliopisto,2016,Tohtorintutkinto,159
147,Lapin yliopisto,2016,Tohtorintutkinto,24
148,Lappeenrannan–Lahden teknillinen yliopisto,2016,Tohtorintutkinto,48
149,Oulun yliopisto,2016,Tohtorintutkinto,195
150,Svenska handelshögskolan,2016,Tohtorintutkinto,15
151,Taideyliopisto,2016,Tohtorintutkinto,21
152,Tampereen yliopisto,2016,Tohtorintutkinto,213
153,Turun yliopisto,2016,Tohtorintutkinto,168
154,Vaasan yliopisto,2016,Tohtorintutkinto,27
155,Åbo Akademi,2016,Tohtorintutkinto,72
156,Aalto-yliopisto,2017,Tohtorintutkinto,255
157,Helsingin yliopisto,2017,Tohtorintutkinto,474
158,Itä-Suomen yliopisto,2017,Tohtorintutkinto,162
159,Jyväskylän yliopisto,2017,Tohtorintutkinto,147
160,Lapin yliopisto,2017,Tohtorintutkinto,24
161,Lappeenrannan–Lahden teknillinen yliopisto,2017,Tohtorintutkinto,54
162,Oulun yliopisto,2017,Tohtorintutkinto,150
163,Svenska handelshögskolan,2017,Tohtorintutkinto,12
164,Taideyliopisto,2017,Tohtorintutkinto,18
165,Tampereen yliopisto,2017,Tohtorintutkinto,186
166,Turun yliopisto,2017,Tohtorintutkinto,171
167,Vaasan yliopisto,2017,Tohtorintutkinto,27
168,Åbo Akademi,2017,Tohtorintutkinto,66
169,Aalto-yliopisto,2018,Tohtorintutkinto,264
170,Helsingin yliopisto,2018,Tohtorintutkinto,444
171,Itä-Suomen yliopisto,2018,Tohtorintutkinto,153
172,Jyväskylän yliopisto,2018,Tohtorintutkinto,138
173,Lapin yliopisto,2018,Tohtorintutkinto,21
174,Lappeenrannan–Lahden teknillinen yliopisto,2018,Tohtorintutkinto,54
175,Oulun yliopisto,2018,Tohtorintutkinto,198
176,Svenska handelshögskolan,2018,Tohtorintutkinto,6
177,Taideyliopisto,2018,Tohtorintutkinto,18
178,Tampereen yliopisto,2018,Tohtorintutkinto,213
179,Turun yliopisto,2018,Tohtorintutkinto,195
180,Vaasan yliopisto,2018,Tohtorintutkinto,21
181,Åbo Akademi,2018,Tohtorintutkinto,60
182,Aalto-yliopisto,2019,Tohtorintutkinto,234
183,Helsingin yliopisto,2019,Tohtorintutkinto,504
184,Itä-Suomen yliopisto,2019,Tohtorintutkinto,147
185,Jyväskylän yliopisto,2019,Tohtorintutkinto,126
186,Lapin yliopisto,2019,Tohtorintutkinto,24
187,Lappeenrannan–Lahden teknillinen yliopisto,2019,Tohtorintutkinto,57
188,Oulun yliopisto,2019,Tohtorintutkinto,159
189,Svenska handelshögskolan,2019,Tohtorintutkinto,6
190,Taideyliopisto,2019,Tohtorintutkinto,9
191,Tampereen yliopisto,2019,Tohtorintutkinto,189
192,Turun yliopisto,2019,Tohtorintutkinto,183
193,Vaasan yliopisto,2019,Tohtorintutkinto,24
194,Åbo Akademi,2019,Tohtorintutkinto,57
